miliseconds,steering,throttle
1697213147.2618024,-0.55,0.3
1697213147.2674115,-0.55,0.3
1697213147.273438,-0.55,0.3
1697213147.2797806,-0.55,0.3
1697213147.285958,-0.55,0.3
1697213147.2921126,-0.55,0.3
1697213147.2980926,-0.55,0.3
1697213147.3041856,-0.55,0.3
1697213147.3104944,-0.55,0.3
1697213147.316474,-0.55,0.3
1697213147.3225474,-0.55,0.3
1697213147.328862,-0.55,0.3
1697213147.3346565,-0.55,0.3
1697213147.340723,-0.55,0.3
1697213147.3468099,-0.55,0.3
1697213147.352886,-0.55,0.3
1697213147.359077,-0.55,0.3
1697213147.365043,-0.55,0.3
1697213147.3707497,-0.55,0.3
1697213147.3767915,-0.55,0.3
1697213147.3829007,-0.55,0.3
1697213147.3889387,-0.55,0.3
1697213147.3952405,-0.55,0.3
1697213147.401257,-0.55,0.3
1697213147.4071746,-0.55,0.3
1697213147.4132376,-0.55,0.3
1697213147.4192865,-0.55,0.3
1697213147.425617,-0.55,0.3
1697213147.4314492,-0.55,0.3
1697213147.4374695,-0.55,0.3
1697213147.4436367,-0.55,0.3
1697213147.4495902,-0.55,0.3
1697213147.4555535,-0.55,0.3
1697213147.4616356,-0.55,0.3
1697213147.4673924,-0.55,0.3
1697213147.4735885,-0.55,0.3
1697213147.4796665,-0.55,0.3
1697213147.4855852,-0.55,0.3
1697213147.4918394,-0.55,0.3
1697213147.497728,-0.55,0.3
1697213147.5037007,-0.55,0.3
1697213147.5100284,-0.55,0.3
1697213147.5159879,-0.55,0.3
1697213147.5219328,-0.55,0.3
1697213147.5281546,-0.55,0.3
1697213147.5338514,-0.55,0.3
1697213147.5398905,-0.55,0.3
1697213147.5463128,-0.55,0.3
1697213147.5521965,-0.55,0.3
1697213147.5585299,-0.55,0.3
1697213147.5645955,-0.55,0.3
1697213147.5707502,-0.55,0.3
1697213147.5768776,-0.55,0.3
1697213147.5829337,-0.55,0.3
1697213147.5889268,-0.55,0.3
1697213147.5955856,-0.55,0.3
1697213147.6013885,-0.55,0.3
1697213147.607246,-0.55,0.3
1697213147.6132426,-0.55,0.3
1697213147.6194317,-0.55,0.3
1697213147.6255853,-0.55,0.3
1697213147.6314785,-0.55,0.3
1697213147.6376133,-0.55,0.3
1697213147.6436183,-0.55,0.3
1697213147.64969,-0.55,0.3
1697213147.6556954,-0.55,0.3
1697213147.6620076,-0.55,0.3
1697213147.6679022,-0.55,0.3
1697213147.6737516,-0.55,0.3
1697213147.6798286,-0.55,0.3
1697213147.685819,-0.55,0.3
1697213147.6920059,-0.55,0.3
1697213147.697987,-0.55,0.3
1697213147.703677,-0.55,0.3
1697213147.7096477,-0.55,0.3
1697213147.7157812,-0.55,0.3
1697213147.7218199,-0.55,0.3
1697213147.7282174,-0.55,0.3
1697213147.7343109,-0.55,0.3
1697213147.7403405,-0.55,0.3
1697213147.746379,-0.55,0.3
1697213147.75225,-0.55,0.3
1697213147.7584057,-0.55,0.3
1697213147.7642348,-0.55,0.3
1697213147.770232,-0.55,0.3
1697213147.7766008,-0.55,0.3
1697213147.7825632,-0.55,0.3
1697213147.788634,-0.55,0.3
1697213147.794869,-0.55,0.3
1697213147.8005583,-0.55,0.3
1697213147.806484,-0.55,0.3
1697213147.8126595,-0.55,0.3
1697213147.8185163,-0.55,0.3
1697213147.8248777,-0.55,0.3
1697213147.8308024,-0.55,0.3
1697213147.8368149,-0.55,0.3
1697213147.8431556,-0.55,0.3
1697213147.848955,-0.55,0.3
1697213147.8547084,-0.55,0.3
1697213147.8604145,-0.55,0.3
1697213147.8660996,-0.55,0.3
1697213147.8722303,-0.55,0.3
1697213147.8789191,-0.55,0.3
1697213147.8848388,-0.55,0.3
1697213147.8909018,-0.55,0.3
1697213147.8965151,-0.55,0.3
1697213147.902268,-0.55,0.3
1697213147.9088404,-0.55,0.3
1697213147.914707,-0.55,0.3
1697213147.9204707,-0.55,0.3
1697213147.926382,-0.55,0.3
1697213147.931925,-0.55,0.3
1697213147.9377577,-0.55,0.3
1697213147.9444096,-0.55,0.3
1697213147.9503338,-0.55,0.3
1697213147.9563873,-0.55,0.3
1697213147.962291,-0.55,0.3
1697213147.9679153,-0.55,0.3
1697213147.974384,-0.55,0.3
1697213147.9804962,-0.55,0.3
1697213147.9864388,-0.55,0.3
1697213147.9923794,-0.55,0.3
1697213147.9978719,-0.55,0.3
1697213148.0034888,-0.55,0.3
1697213148.0105453,-0.55,0.3
1697213148.0163496,-0.55,0.3
1697213148.0223892,-0.55,0.3
1697213148.0284328,-0.55,0.3
1697213148.034156,-0.55,0.3
1697213148.0401561,-0.55,0.3
1697213148.0467942,-0.55,0.3
1697213148.0525858,-0.55,0.3
1697213148.058712,-0.55,0.3
1697213148.0642307,-0.55,0.3
1697213148.0700564,-0.55,0.3
1697213148.0768435,-0.55,0.3
1697213148.0827296,-0.55,0.3
1697213148.0886712,-0.55,0.3
1697213148.09466,-0.55,0.3
1697213148.1002183,-0.55,0.3
1697213148.1066782,-0.55,0.3
1697213148.113137,-0.55,0.3
1697213148.1189797,-0.55,0.3
1697213148.1250432,-0.55,0.3
1697213148.130565,-0.55,0.3
1697213148.1365292,-0.55,0.3
1697213148.1436698,-0.55,0.3
1697213148.153973,-0.55,0.3
1697213148.161576,-0.55,0.3
1697213148.1695266,-0.55,0.3
1697213148.186888,-0.55,0.3
1697213148.193933,-0.55,0.3
1697213148.2062674,-0.55,0.3
1697213148.2158551,-0.55,0.3
1697213148.2241406,-0.55,0.3
1697213148.231832,-0.55,0.3
1697213148.2425838,-0.55,0.3
1697213148.248634,-0.55,0.3
1697213148.2584631,-0.55,0.3
1697213148.2645764,-0.55,0.3
1697213148.2709987,-0.55,0.3
1697213148.278546,-0.55,0.3
1697213148.2845547,-0.55,0.3
1697213148.2915492,-0.55,0.3
1697213148.2977638,-0.55,0.3
1697213148.304011,-0.55,0.3
1697213148.3114228,-0.55,0.3
1697213148.3188388,-0.55,0.3
1697213148.3255475,-0.55,0.3
1697213148.3314347,-0.55,0.3
1697213148.337858,-0.55,0.3
1697213148.3455396,-0.55,0.3
1697213148.352183,-0.55,0.3
1697213148.3588932,-0.55,0.3
1697213148.3647704,-0.55,0.3
1697213148.3708827,-0.55,0.3
1697213148.3792892,-0.55,0.3
1697213148.3864334,-0.55,0.3
1697213148.3932776,-0.55,0.3
1697213148.39936,-0.55,0.3
